name,architecture,train_data_size,test_data_size,mae,pearson_r,pearson_p,spearman_r,spearman_p
bgl3_28_02_2022_121543,simple_model,434,800,1.1108073149337176,-0.025706234361002347,0.069132769519621,-0.02207183567179838,0.11863838585428643
gb1_28_02_2022_121719,simple_model,434,800,2.0426880431404117,0.21778700027333503,9.435656906702e-55,0.22090529960121094,2.564115743600424e-56
pab1_28_02_2022_121809,simple_model,434,800,1.4814031684468525,0.38424297831972654,1.2332408771912198e-175,0.36653041264868,8.188126392721029e-159
avgfp_28_02_2022_121818,simple_model,434,800,0.9556945719189527,0.4728453368794665,5.313692512114052e-277,0.4380990174147051,1.332254333165333e-233
gb1_28_02_2022_121839,simple_model,434,800,2.0013757989174157,0.3219466289655578,6.109610448154797e-121,0.3180522070649325,6.3814852379058305e-118
ube4b_28_02_2022_121847,simple_model,434,800,1.5241727253899908,0.21605473408356793,6.825319369595738e-54,0.22533815000071633,1.3836240379614672e-58
bgl3_28_02_2022_121856,simple_model,434,800,1.453335390538789,0.11536456165637003,2.7732355132368325e-16,0.08534281079876818,1.5018262468012978e-09
pab1_28_02_2022_122516,simple_model_imp,30168,7542,1.0617723378403727,0.6716406303773395,0.0,0.669782364171344,0.0
pab1_28_02_2022_123304,simple_model_imp,30168,7542,0.46455946367236156,0.9276138685336568,0.0,0.9060115048672827,0.0
avgfp_28_02_2022_125019,simple_model_imp,41372,10342,0.15919208586498904,0.9632037995551938,0.0,0.8693961680899054,0.0
gb1_28_02_2022_154347,simple_model_imp,428868,107216,0.32644353642657054,0.9772310657228265,0.0,0.9763368183743614,0.0
ube4b_28_02_2022_164248,simple_model_imp,72825,18206,1.1514869948310487,0.6274237060323493,0.0,0.5908416401725641,0.0
pab1_01_03_2022_090354,simple_model,330,1000,1.0392828443748523,0.6900768543151093,0.0,0.6669213762183753,0.0
pab1_01_03_2022_090650,simple_model,330,1000,1.0254159019869686,0.6891887771194881,0.0,0.6629824321993644,0.0
pab1_01_03_2022_091638,simple_model,330,1000,1.0231983053899107,0.691106014161981,0.0,0.665959249375039,0.0
pab1_01_03_2022_092749,simple_model,330,1000,1.0307670488630993,0.6822896666153339,0.0,0.6612196879947407,0.0
gb1_01_03_2022_093235,simple_model,434,1000,1.0925743178491474,0.7819483908801912,0.0,0.7964440506403339,0.0
pab1_01_03_2022_094040,simple_model_norm,30168,7542,0.5514275928995329,0.9014877072326667,0.0,0.8754700153984688,0.0
avgfp_01_03_2022_094929,simple_model_norm,400,1000,0.9526848188866006,-0.12642414888922368,2.8769130527422066e-19,-0.12692410179465677,2.077516390692466e-19
avgfp_01_03_2022_100239,simple_model_norm,400,1000,0.8741922540060143,0.5071082045675857,0.0,0.4800500143066491,1.2011889060449883e-286
avgfp_01_03_2022_101116,simple_model,400,1000,0.5906125698254181,0.696192464700448,0.0,0.6767817178087253,0.0
avgfp_01_03_2022_104727,simple_model,400,1000,0.5568211234311827,0.7155551939288074,0.0,0.7131932329664291,0.0
avgfp_01_03_2022_105844,simple_model_imp,400,1000,0.49916077858091595,0.7525831595201997,0.0,0.7207647716716794,0.0
pab1_01_03_2022_113107,simple_model_norm,330,1000,1.255610676490589,0.6390693255131392,0.0,0.6195360458937649,0.0
avgfp_01_03_2022_113521,simple_model_norm,330,1000,0.9304713003830996,0.5376083510883526,0.0,0.505190553864868,0.0
avgfp_01_03_2022_114519,simple_model_norm,400,1000,0.5048932039459659,0.7175598609272665,0.0,0.6624474980172924,0.0
pab1_01_03_2022_124639,simple_model_imp,330,1000,1.0874206982552326,0.6460007505379657,0.0,0.627005690284695,0.0
pab1_01_03_2022_125408,simple_model_imp,330,1000,1.3165500399071257,0.48857563993538894,2.3043826672659115e-298,0.4794723985095293,7.269289649261838e-286
pab1_01_03_2022_130019,simple_model_imp,330,1000,1.0003808724661976,0.6914464661500138,0.0,0.6718433366019224,0.0
pab1_01_03_2022_131007,simple_model_imp,330,1000,nan,nan,nan,nan,nan
pab1_01_03_2022_131252,simple_model_imp,330,1000,nan,nan,nan,nan,nan
gb1_01_03_2022_131501,simple_model_imp,330,1000,nan,nan,nan,nan,nan
ube4b_01_03_2022_131621,simple_model_imp,330,1000,nan,nan,nan,nan,nan
pab1_01_03_2022_190418,simple_model,330,1000,1.014316378717901,0.6934696751721134,0.0,0.6703624677745942,0.0
pab1_01_03_2022_191028,simple_model,330,1000,nan,nan,nan,nan,nan
pab1_01_03_2022_194650,simple_stride_model,30168,7542,0.4362099729167672,0.9350281049771587,0.0,0.9158042783709283,0.0
avgfp_01_03_2022_195841,simple_stride_model,41372,10342,0.16273460461706524,0.9612283545260788,0.0,0.866971676274133,0.0
gb1_01_03_2022_224014,simple_stride_model,428868,107216,0.30498012469746855,0.9794359521106358,0.0,0.9785023642537048,0.0
ube4b_02_03_2022_001150,simple_stride_model,72825,18206,1.1513253997524389,0.6357911727064596,0.0,0.5962747262911247,0.0
